phase,ticket_id,title,priority,status,owner,notes
R2,R2-001,Rebuild discovery query composition,P0,done,codex-agent,
R2,R2-002,Fix personalized Starred cache isolation,P0,done,codex-agent,
R2,R2-003,Actor-scoped create idempotency,P0,done,codex-agent,
R2,R2-004,Create payload parity,P1,done,codex-agent,
R2,R2-005,Create reset/success lifecycle,P1,done,codex-agent,
R2,R2-006,Explicit discovery invalidation,P1,done,codex-agent,
R2,R2-007,Star hydration/reconciliation,P1,done,codex-agent,
R2,R2-008,Current-location creation UI,P1,done,codex-agent,
R2,R2-009,Unified enhanced route state,P1,done,codex-agent,
R2,R2-010,Travel-mode-correct handoff,P1,done,codex-agent,
R2,R2-011,Search lifecycle filtering,P1,done,codex-agent,
R2,R2-012,PATCH map cache invalidation,P1,done,codex-agent,
R2,R2-013,Route request correlation,P1,done,codex-agent,
R2,R2-014,Complete route rate limits,P2,done,codex-agent,
R2,R2-015,Readiness reporting tied to evidence,P2,done,codex-agent,
B,HEAT-B001,Deterministic XcodeGen CI,,not_started,,
B,HEAT-B002,Debug/Staging/Release configurations,,not_started,,
B,HEAT-B003,Remove release API placeholder,,not_started,,
B,HEAT-B004,Signing/team/bundle IDs,,not_started,,
B,HEAT-B005,App icon/resources,,not_started,,
B,HEAT-B006,Universal link entitlement decision,,not_started,,
B,HEAT-B007,Real iOS app build/test CI,,not_started,,
B,HEAT-B008,Archive validation,,not_started,,
B,HEAT-B009,Strengthen backend CI,,not_started,,
B,HEAT-B010,Protect main/required checks,,not_started,,
B,HEAT-B011,Release version strategy,,not_started,,
B,HEAT-B012,TestFlight pipeline,,not_started,,
C,HEAT-C001,Managed PostGIS environments,,not_started,,
C,HEAT-C002,DB roles/least privilege,,not_started,,
C,HEAT-C003,Redis/shared cache,,not_started,,
C,HEAT-C004,Runtime feature flags,,not_started,,
C,HEAT-C005,Secrets management,,not_started,,
C,HEAT-C006,API deployment pipeline,,not_started,,
C,HEAT-C007,Health/readiness,,not_started,,
C,HEAT-C008,Backup/restore drill,,not_started,,
C,HEAT-C009,Migration release process,,not_started,,
C,HEAT-C010,Scheduled job runtime,,not_started,,
C,HEAT-C011,Environment isolation tests,,not_started,,
C,HEAT-C012,Production runbooks,,not_started,,
D,HEAT-D001,Provider adapter contract,,not_started,,
D,HEAT-D002,Fetch-run/raw tables,,not_started,,
D,HEAT-D003,Raw payload retention policy,,not_started,,
D,HEAT-D004,Normalized provider candidate types,,not_started,,
D,HEAT-D005,Pagination/retry/quota behavior,,not_started,,
D,HEAT-D006,City/time query strategy,,not_started,,
D,HEAT-D007,Refresh schedule tiers,,not_started,,
D,HEAT-D008,Source upsert,,not_started,,
D,HEAT-D009,Cancellation/postponement refresh,,not_started,,
D,HEAT-D010,Ticket URL validation,,not_started,,
D,HEAT-D011,Provider health metrics,,not_started,,
D,HEAT-D012,Disable fixtures in production,,not_started,,
D,HEAT-D013,Provider replay integration test,,not_started,,
E,HEAT-E001,Normalization helpers,,not_started,,
E,HEAT-E002,Venue resolver,,not_started,,
E,HEAT-E003,Event candidate search,,not_started,,
E,HEAT-E004,Resolution features,,not_started,,
E,HEAT-E005,Match scoring/policy,,not_started,,
E,HEAT-E006,Decision classes,,not_started,,
E,HEAT-E007,Decision audit schema,,not_started,,
E,HEAT-E008,Manual review queue,,not_started,,
E,HEAT-E009,Merge reversal,,not_started,,
E,HEAT-E010,Las Vegas truth corpus,,not_started,,
E,HEAT-E011,Precision/recall metrics,,not_started,,
E,HEAT-E012,Native/provider collision resolution,,not_started,,
F,HEAT-F001,Moderation API,,not_started,,
F,HEAT-F002,Moderator roles/authorization,,not_started,,
F,HEAT-F003,Event moderation state,,not_started,,
F,HEAT-F004,Report aggregation/severity,,not_started,,
F,HEAT-F005,Ticket-link moderation,,not_started,,
F,HEAT-F006,Event claim workflow,,not_started,,
F,HEAT-F007,Verification policy,,not_started,,
F,HEAT-F008,Apple identity/account upgrade,,not_started,,
F,HEAT-F009,Session hardening,,not_started,,
F,HEAT-F010,Account deletion,,not_started,,
F,HEAT-F011,Rate-limit classes,,not_started,,
F,HEAT-F012,Abuse detection baseline,,not_started,,
F,HEAT-F013,Admin audit log,,not_started,,
F,HEAT-F014,Moderation runbooks,,not_started,,
G,HEAT-G001,Versioned scoring config,,not_started,,
G,HEAT-G002,Signal observation model,,not_started,,
G,HEAT-G003,Freshness weighting,,not_started,,
G,HEAT-G004,Confidence calibration,,not_started,,
G,HEAT-G005,Calibration dataset,,not_started,,
G,HEAT-G006,Shadow scoring,,not_started,,
G,HEAT-G007,Score diagnostics,,not_started,,
G,HEAT-G008,Production routing adapter,,not_started,,
G,HEAT-G009,Routing degradation,,not_started,,
G,HEAT-G010,Route mode correctness regression,,not_started,,
G,HEAT-G011,Routing privacy verification,,not_started,,
G,HEAT-G012,HEAT operational dashboards,,not_started,,
H,HEAT-H001,Device matrix,,not_started,,
H,HEAT-H002,Dense map benchmark,,not_started,,
H,HEAT-H003,Rapid camera cancellation,,not_started,,
H,HEAT-H004,Network condition matrix,,not_started,,
H,HEAT-H005,Location permission matrix,,not_started,,
H,HEAT-H006,VoiceOver,,not_started,,
H,HEAT-H007,Dynamic Type,,not_started,,
H,HEAT-H008,Reduce Motion,,not_started,,
H,HEAT-H009,Contrast,,not_started,,
H,HEAT-H010,Battery/network budget,,not_started,,
H,HEAT-H011,Foreground/background lifecycle,,not_started,,
H,HEAT-H012,Time/DST,,not_started,,
H,HEAT-H013,URL/deep-link,,not_started,,
H,HEAT-H014,Leak/memory profiling,,not_started,,
H,HEAT-H015,Crash monitoring,,not_started,,
I,HEAT-I001,Venue truth set,,not_started,,
I,HEAT-I002,Nightly event QA,,not_started,,
I,HEAT-I003,Beta cohort,,not_started,,
I,HEAT-I004,Feedback loop,,not_started,,
I,HEAT-I005,Decision funnel dashboard,,not_started,,
I,HEAT-I006,Event supply KPIs,,not_started,,
I,HEAT-I007,HEAT quality sessions,,not_started,,
I,HEAT-I008,Route field testing,,not_started,,
I,HEAT-I009,Moderation load,,not_started,,
I,HEAT-I010,Beta defect process,,not_started,,
J,HEAT-J001,App Store identity,,not_started,,
J,HEAT-J002,Screenshots,,not_started,,
J,HEAT-J003,Privacy declarations,,not_started,,
J,HEAT-J004,Terms/community rules,,not_started,,
J,HEAT-J005,Support workflow,,not_started,,
J,HEAT-J006,Incident response,,not_started,,
J,HEAT-J007,Production dashboards,,not_started,,
J,HEAT-J008,Staged rollout,,not_started,,
J,HEAT-J009,Provider licensing/terms review,,not_started,,
J,HEAT-J010,City expansion lock,,not_started,,
